"Hostname","OS Type","IP Address","MAC Address","WLAN (SSID)","AP MAC","Traffic (Session)","Traffic (uplink)","Traffic (downlink)","Data Rate (up)","Data Rate (down)","RSSI","SNR","Radio Type","VLAN","Channel","User Name","Auth Method","Auth Status","Control Plane","Session start time"
"Samsung","Unknown","10.100.3.78/::","00:7C:2D:26:92:E4","Reception Hall-TV","84:23:88:1E:4E:80","1170032644","621977","1169410667","9","17467","-64","29","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 17:24:01"
"Samsung","Unknown","10.100.6.159/::","00:7C:2D:26:93:E7","Reception Hall-TV","84:23:88:1E:4E:80","505518200","874751","504643449","93","53995","-68","25","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 07:27:33"
"Samsung","Unknown","10.100.1.18/::","00:C3:F4:7E:0A:E6","Reception Hall-TV","84:23:88:1E:4E:80","1164382970","410556","1163972414","5","15865","-45","48","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 17:37:58"
"S25-Ultra-alkhas-b-Ziad","Unknown","10.100.7.204/::","06:65:BF:3B:F0:62","Reception Hall-TV","84:23:88:1E:44:C0","0","0","0","0","0","0","0","a/n/ac","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/06 13:58:00"
"iPhone-2","Unknown","10.100.7.210/::","14:60:CB:06:24:D1","Reception Hall-TV","84:23:88:1E:44:C0","71901","23073","48828","2307","4882","-74","16","N/A","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/06 14:00:28"
"Galaxy-A55-5G","Unknown","10.100.7.219/::","26:CC:35:9A:6B:44","Reception Hall-TV","84:23:88:1E:44:C0","38141575","2968890","35172685","6263","74203","-65","25","a/n/ac","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/06 13:52:44"
"","Unknown","10.100.7.170/::","3E:CD:C8:4F:EE:AB","Reception Hall-TV","84:23:88:1E:44:C0","48599997","3329333","45270664","9197","125057","-62","31","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/06 13:54:12"
"A13-alkhas-b-Refah","Unknown","10.100.7.166/::","6E:F4:AB:55:13:91","Reception Hall-TV","84:23:88:1E:44:C0","8792466","130774","8661692","77","5101","-63","27","a/n/ac","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/06 13:32:20"
"","Unknown","10.100.4.65/::","86:54:52:73:30:00","Reception Hall-TV","84:23:88:1E:44:C0","58366772","3407677","54959095","6128","98847","-71","22","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/06 13:51:21"
"","Unknown","10.100.7.138/::","CE:2F:3A:86:DB:00","Reception Hall-TV","84:23:88:1E:44:C0","8440377","682422","7757955","5593","63589","-65","25","a/n/ac","100","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/06 13:58:35"
