"Hostname","OS Type","IP Address","MAC Address","WLAN (SSID)","AP MAC","Traffic (Session)","Traffic (uplink)","Traffic (downlink)","Data Rate (up)","Data Rate (down)","RSSI","SNR","Radio Type","VLAN","Channel","User Name","Auth Method","Auth Status","Control Plane","Session start time"
"","Unidentified Router or AP","10.60.1.48/::","00:16:78:69:09:00","EHC TV","B4:79:C8:10:F8:40","23811172","1482831","22328341","1159","17457","-63","33","g/n","60","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 12:17:53"
"","Unidentified Router or AP","10.90.2.55/::","00:16:78:91:33:E0","EHC TV","B4:79:C8:10:DE:70","1629","840","789","12","11","-69","27","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 13:11:09"
"","Unidentified Router or AP","10.90.2.87/::","00:16:78:9F:63:DC","EHC TV","B4:79:C8:10:E0:60","32615024","1777363","30837661","2131","36975","-66","29","g/n","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/06/30 22:50:17"
"Samsung","Unknown","10.60.6.45/::","00:7C:2D:26:92:EF","EHC TV","C8:03:F5:14:C7:A0","744938174","21080288","723857886","2744","94227","-71","24","g/n","60","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 03:22:34"
"Samsung","Unknown","10.40.7.208/::","00:7C:2D:26:92:FD","EHC TV","84:23:88:1E:4B:A0","1534198437","41848437","1492350000","4007","142918","-63","29","g/n","40","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 10:20:10"
"Samsung","Unknown","10.90.3.123/::","00:7C:2D:26:93:19","EHC TV","B4:79:C8:10:D5:30","186136694","8794502","177342192","1947","39269","-88","9","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 11:58:46"
"Samsung","Unknown","10.100.6.18/::","00:7C:2D:26:94:0C","EHC TV","20:58:69:0C:86:C0","18921406","2429989","16491417","47","324","-73","20","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 20:21:38"
"Samsung","Unknown","10.20.1.178/::","00:7C:2D:AF:84:E2","EHC TV","B4:79:C8:11:06:40","129117764","5417942","123699822","1815","41454","-66","31","g/n","20","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 12:23:24"
"Samsung","Unknown","10.90.2.39/::","00:7C:2D:AF:85:28","EHC TV","B4:79:C8:10:D1:30","2328494","576","2327918","0","0","-83","13","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 13:10:17"
"Samsung","Unknown","10.90.3.89/::","00:7C:2D:AF:85:56","EHC TV","B4:79:C8:10:C3:F0","7780370","548383","7231987","770","10157","-76","21","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 13:03:07"
