"Hostname","OS Type","IP Address","MAC Address","WLAN (SSID)","AP MAC","Traffic (Session)","Traffic (uplink)","Traffic (downlink)","Data Rate (up)","Data Rate (down)","RSSI","SNR","Radio Type","VLAN","Channel","User Name","Auth Method","Auth Status","Control Plane","Session start time"
"","Unidentified Router or AP","10.60.2.193/::","00:16:78:69:09:00","EHC TV","B4:79:C8:10:F8:40","1541611150","63458775","1478152375","16196","377272","-65","30","g/n","60","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 05:03:05"
"","Unidentified Router or AP","10.90.3.221/::","00:16:78:91:33:E0","EHC TV","B4:79:C8:10:DE:70","8727336","178938","8548398","157","7505","-75","20","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 09:04:25"
"","Unidentified Router or AP","10.90.1.30/::","00:16:78:9F:63:DC","EHC TV","B4:79:C8:10:E0:60","343380726","160371135","183009591","18342","20932","-73","22","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 06:08:52"
"Samsung","Unknown","10.60.0.31/::","00:7C:2D:26:92:EF","EHC TV","C8:03:F5:14:C7:A0","297410262","11228061","286182201","1186","30242","-77","18","g/n","60","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 06:58:44"
"Samsung","Unknown","10.40.7.90/::","00:7C:2D:26:92:FD","EHC TV","84:23:88:1E:4B:A0","102735603","309156","102426447","12","4273","-59","33","g/n","40","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 01:13:45"
"Samsung","Unknown","10.90.3.123/::","00:7C:2D:26:93:19","EHC TV","B4:79:C8:10:D4:A0","152658911","7513071","145145840","2029","39207","-70","26","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 08:52:21"
"Samsung","Unknown","10.100.6.153/::","00:7C:2D:26:94:0C","EHC TV","20:58:69:0C:86:C0","18521928","2647381","15874547","209","1253","-69","24","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 03:09:10"
"Samsung","Unknown","10.20.0.246/::","00:7C:2D:AF:84:E2","EHC TV","B4:79:C8:11:06:40","23227645","390664","22836981","39","2291","-70","25","g/n","20","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 05:06:41"
"Samsung","Unknown","10.90.7.89/::","00:7C:2D:AF:85:15","EHC TV","B4:79:C8:10:DF:10","516992678","18001616","498991062","29853","827514","-68","27","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 04:47:30"
"Samsung","Unknown","10.90.3.232/::","00:7C:2D:AF:85:28","EHC TV","B4:79:C8:10:E0:B0","1910583912","66605833","1843978079","21191","586693","-66","29","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 05:33:34"
