"Hostname","OS Type","IP Address","MAC Address","WLAN (SSID)","AP MAC","Traffic (Session)","Traffic (uplink)","Traffic (downlink)","Data Rate (up)","Data Rate (down)","RSSI","SNR","Radio Type","VLAN","Channel","User Name","Auth Method","Auth Status","Control Plane","Session start time"
"","Unidentified Router or AP","10.60.2.193/::","00:16:78:69:09:00","EHC TV","B4:79:C8:10:F8:40","1364632818","54939129","1309693689","29906","712952","-66","29","N/A","60","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 05:03:05"
"","Unidentified Router or AP","10.90.3.221/::","00:16:78:91:33:E0","EHC TV","B4:79:C8:10:E4:A0","4082182","312770","3769412","494","5964","-68","26","g/n","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 08:35:37"
"","Unidentified Router or AP","10.90.1.30/::","00:16:78:9F:63:DC","EHC TV","B4:79:C8:10:E0:60","334667647","160359407","174308240","33526","36443","-73","22","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 06:08:52"
"Samsung","Unknown","10.60.0.31/::","00:7C:2D:26:92:EF","EHC TV","C8:03:F5:14:C7:A0","297410262","11228061","286182201","1975","50348","-77","18","g/n","60","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 06:58:44"
"Samsung","Unknown","10.40.7.90/::","00:7C:2D:26:92:FD","EHC TV","84:23:88:1E:4B:A0","91575288","309057","91266231","15","4520","-61","32","g/n","40","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 01:13:45"
"Samsung","Unknown","10.90.3.123/::","00:7C:2D:26:93:19","EHC TV","B4:79:C8:10:D5:30","205932052","10071831","195860221","1673","32545","-89","8","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 05:41:19"
"Samsung","Unknown","10.100.6.153/::","00:7C:2D:26:94:0C","EHC TV","20:58:69:0C:86:C0","18521698","2647282","15874416","297","1786","-71","22","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 03:09:10"
"Samsung","Unknown","10.20.0.246/::","00:7C:2D:AF:84:E2","EHC TV","B4:79:C8:11:06:40","20394395","390565","20003830","63","3234","-70","26","g/n","20","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 05:06:41"
"Samsung","Unknown","10.90.7.89/::","00:7C:2D:AF:85:15","EHC TV","B4:79:C8:10:DF:10","507291917","17346504","489945413","1185","33479","-68","27","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 04:47:30"
"Samsung","Unknown","10.90.3.232/::","00:7C:2D:AF:85:28","EHC TV","B4:79:C8:10:E0:B0","1107755990","36571506","1071184484","8187","239799","-69","27","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 05:33:34"
"Samsung","Unknown","10.90.4.68/::","00:7C:2D:AF:85:56","EHC TV","B4:79:C8:10:C3:F0","184178393","8407890","175770503","6452","134896","-82","15","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 08:28:47"
"Samsung","Unknown","10.90.3.151/::","00:C3:F4:7E:09:FD","EHC TV","B4:79:C8:10:D4:A0","49321909","243485","49078424","32","6631","-80","16","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 04:45:25"
"Samsung","Unknown","10.30.5.157/::","00:C3:F4:7E:0A:C3","EHC TV","20:58:69:0C:6A:30","341647561","16175406","325472155","32030","644499","-78","17","g/n","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 04:28:18"
"Samsung","Unknown","10.100.0.55/::","00:C3:F4:7E:0A:E3","EHC TV","20:58:69:0C:98:30","130505371","8120051","122385320","3945","59468","-73","25","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 00:35:27"
"Samsung","Unknown","10.30.0.109/::","00:C3:F4:7E:0B:02","EHC TV","C8:03:F5:33:C0:C0","277796130","13460735","264335395","45170","887031","-84","10","g/n","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 07:31:59"
"Samsung","Unknown","10.100.5.0/::","00:C3:F4:7E:0B:3B","EHC TV","20:58:69:0C:86:C0","10781933","981914","9800019","38","383","-71","22","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 01:04:09"
"Samsung","Unknown","10.60.1.12/::","00:C3:F4:7E:0B:77","EHC TV","C8:03:F5:33:AA:30","859296311","35744305","823552006","3887","89565","-83","12","g/n","60","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 04:46:28"
"Samsung","Unknown","10.100.6.78/::","00:C3:F4:86:2D:62","EHC TV","20:58:69:0C:63:50","7025078362","320435107","6704643255","29378","614710","-62","30","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/05 16:45:31"
"Samsung","Unknown","10.30.0.167/::","00:C3:F4:86:2E:1D","EHC TV","C8:03:F5:33:AC:20","27238337","1047003","26191334","2481","62064","-80","15","g/n","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 08:41:14"
"Samsung","Unknown","10.30.5.168/::","00:C3:F4:86:2E:6E","EHC TV","C8:03:F5:33:A9:D0","67503940","17895333","49608607","3259","9036","-76","19","g/n","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 05:13:10"
"Samsung","Unknown","10.20.0.94/::","00:C3:F4:86:2E:AA","EHC TV","C8:03:F5:33:A7:F0","10988973","1414636","9574337","177","1200","-84","13","g/n","20","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 06:36:50"
"Samsung","Unknown","10.100.5.57/::","00:C3:F4:86:2F:72","EHC TV","20:58:69:0C:6D:B0","443838916","1318614","442520302","61","20548","-72","25","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 23:13:46"
"Samsung","Unknown","10.100.5.150/::","00:C3:F4:86:46:50","EHC TV","20:58:69:0C:6E:70","3891890","755090","3136800","46","193","-79","16","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 02:15:46"
"Samsung","Unknown","10.100.4.92/::","00:C3:F4:86:46:64","EHC TV","20:58:69:0C:95:C0","66321438","556307","65765131","17","2065","-61","34","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 00:00:56"
"Samsung","Unknown","10.100.7.82/::","00:C3:F4:86:46:C2","EHC TV","20:58:69:0C:7C:80","634217705","31933329","602284376","5537","104436","-73","21","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/06 18:57:43"
"Samsung","Unknown","10.100.5.42/::","00:C3:F4:86:48:7F","EHC TV","20:58:69:0C:79:00","28017402396","1164520740","26852881656","51728","1192825","-69","26","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/06/25 13:12:11"
"Samsung","Unknown","10.100.4.201/::","00:C3:F4:86:48:84","EHC TV","20:58:69:0C:A9:F0","957830","273601","684229","9","24","-80","16","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 01:02:49"
"iPhone","Unknown","10.50.1.15/::","02:3E:3C:AD:A4:E7","EHC TV","B4:79:C8:10:F4:40","10677688","861941","9815747","83","949","-73","23","g/n","50","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 05:56:12"
"realme-P1-Pro-5G","Unknown","10.80.6.144/::","02:6C:0C:2A:C6:BB","EHC TV","C8:03:F5:33:C2:D0","357521176","37900630","319620546","9568","80691","-71","27","g/n","80","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 07:44:23"
"iPad","Unknown","10.60.7.253/::","02:9A:86:09:F1:F5","EHC TV","C8:03:F5:14:DB:10","9493916","2724301","6769615","5833","14495","-74","26","a/n/ac","60","56","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 08:41:08"
"Redmi8-Redmi8","Android","10.90.3.254/::","04:C8:07:A7:80:96","EHC TV","70:CA:97:25:A0:B0","62792085","14570100","48221985","5404","17886","-70","26","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 08:04:43"
"","Unknown","10.50.2.179/::","06:5E:B3:6C:53:11","EHC TV","84:23:88:1E:3F:A0","2066810","302047","1764763","235","1374","-76","16","g/n","50","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 08:29:00"
"Galaxy-A25-5G","Unknown","10.30.1.142/::","06:72:CE:1E:E5:86","EHC TV","20:58:69:0C:72:D0","10129134","81776","10047358","17","2138","-94","7","a/n/ac","30","104","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 07:31:44"
"M2006C3MII-Redmi9","Android","10.80.5.224/::","08:1C:6E:72:9B:BB","EHC TV","C8:03:F5:38:F4:A0","20444987","1667796","18777191","1108","12484","-82","15","g/n","80","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 08:25:15"
"M13-alkhas-b-Mohammed","Unknown","10.60.0.229/::","0A:71:04:3C:C8:0E","EHC TV","8C:FE:74:00:D6:40","353915741","17632030","336283711","656","12529","-63","32","g/n","60","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 00:54:11"
"Redmi-Note-11-Pro","Unknown","10.60.0.49/::","0A:86:8D:41:01:20","EHC TV","20:58:69:24:8E:B0","6156566","1691822","4464744","120","317","-78","18","g/n","60","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 04:30:55"
"Galaxy-A13","Unknown","10.100.4.79/::","0A:A0:6A:A8:71:F0","EHC TV","20:58:69:0C:B0:80","903273845","65480129","837793716","2720","34803","-66","31","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 02:08:04"
"realme-9i","Unknown","10.80.6.174/::","0A:BE:CF:92:62:8E","EHC TV","70:CA:97:25:BD:40","","","","","","","","N/A","80","","N/A","Standard+Open","AUTHORIZED","","2025/07/07 08:52:20"
"Galaxy-S24-FE-5G","Unknown","10.100.3.26/::","0A:EF:74:5D:8E:30","EHC TV","20:58:69:0C:B0:80","256911738","51432086","205479652","28637","114409","-63","34","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/07 08:19:20"
