"Hostname","OS Type","IP Address","MAC Address","WLAN (SSID)","AP MAC","Traffic (Session)","Traffic (uplink)","Traffic (downlink)","Data Rate (up)","Data Rate (down)","RSSI","SNR","Radio Type","VLAN","Channel","User Name","Auth Method","Auth Status","Control Plane","Session start time"
"","Unidentified Router or AP","10.60.1.48/::","00:16:78:69:09:00","EHC TV","B4:79:C8:10:F8:40","311949844","13999075","297950769","5799","123426","-65","31","g/n","60","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 12:51:09"
"","Unidentified Router or AP","10.90.2.55/::","00:16:78:91:33:E0","EHC TV","B4:79:C8:10:DE:70","8188","2372","5816","3","7","-70","25","N/A","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:21:07"
"","Unidentified Router or AP","10.90.2.87/::","00:16:78:9F:63:DC","EHC TV","B4:79:C8:10:E0:60","11762965","414633","11348332","13821","378277","-81","14","g/n","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:25:18"
"Samsung","Unknown","10.60.1.231/::","00:7C:2D:26:92:EF","EHC TV","C8:03:F5:14:C7:A0","10742392","303240","10439152","380","13098","-77","17","g/n","60","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:40:09"
"Samsung","Unknown","10.40.2.140/::","00:7C:2D:26:92:FD","EHC TV","84:23:88:1E:4B:A0","2246119141","55080454","2191038687","3205","127497","-61","31","g/n","40","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 08:34:08"
"Samsung","Unknown","10.90.3.123/::","00:7C:2D:26:93:19","EHC TV","B4:79:C8:10:D4:A0","2503853","0","2503853","0","0","-75","19","g/n","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:44:11"
"Samsung","Unknown","10.90.7.223/::","00:7C:2D:26:93:3C","EHC TV","B4:79:C8:10:E3:B0","11923","4030","7893","0","0","-79","17","N/A","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:54:04"
"Samsung","Unknown","10.90.6.203/::","00:7C:2D:26:93:FA","EHC TV","B4:79:C8:10:D5:20","76224980","242582","75982398","35","11172","-62","34","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 11:58:05"
"Samsung","Unknown","10.100.5.200/::","00:7C:2D:26:94:0C","EHC TV","20:58:69:0C:86:C0","2033246","1504546","528700","217","76","-71","21","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 13:30:27"
"Samsung","Unknown","10.20.0.239/::","00:7C:2D:37:27:0F","EHC TV","20:58:69:0C:77:30","16989","76","16913","0","55","-82","14","g/n","20","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:00:09"
"Samsung","Unknown","10.20.1.178/::","00:7C:2D:AF:84:E2","EHC TV","B4:79:C8:11:06:40","1941551","244412","1697139","0","0","-75","21","N/A","20","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:38:01"
"Samsung","Unknown","10.90.7.125/::","00:7C:2D:AF:85:28","EHC TV","B4:79:C8:0F:7E:B0","5563201","327496","5235705","1399","22374","-78","19","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:47:10"
"Samsung","Unknown","10.100.0.95/::","00:C3:F4:7E:09:C1","EHC TV","20:58:69:0C:7C:80","127787160","5214181","122572979","6477","152264","-81","16","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:38:06"
"Samsung","Unknown","10.50.2.219/::","00:C3:F4:7E:0A:11","EHC TV","B4:79:C8:15:4D:20","39493649","43888","39449761","1","1006","-72","24","g/n","50","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 04:59:57"
"Samsung","Unknown","10.30.2.82/::","00:C3:F4:7E:0A:C3","EHC TV","20:58:69:0C:6A:30","13005082","1632261","11372821","601","4190","-72","23","g/n","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 11:44:56"
"Samsung","Unknown","10.100.6.177/::","00:C3:F4:7E:0A:E3","EHC TV","20:58:69:0C:98:30","232820583","10509400","222311183","16118","340968","-72","26","N/A","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:22:27"
"Samsung","Unknown","10.30.1.63/::","00:C3:F4:7E:0B:02","EHC TV","C8:03:F5:33:C0:C0","55307886","3322328","51985558","15820","247550","-83","12","N/A","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:29:57"
"Samsung","Unknown","10.30.3.226/::","00:C3:F4:7E:0B:1F","EHC TV","C8:03:F5:33:E5:D0","163519959","579079","162940880","14","4054","-71","24","g/n","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 02:40:54"
"Samsung","Unknown","10.100.3.134/::","00:C3:F4:7E:0B:3B","EHC TV","20:58:69:0C:86:C0","1570628278","70507044","1500121234","49652","1056423","-75","17","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 21:28:30"
"Samsung","Unknown","10.60.5.170/::","00:C3:F4:7E:0B:77","EHC TV","C8:03:F5:33:AA:30","42905590","2220078","40685512","2584","47363","-83","12","N/A","60","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:37:33"
"Samsung","Unknown","10.100.3.212/::","00:C3:F4:86:2D:62","EHC TV","20:58:69:0C:63:50","1347805909","66036214","1281769695","1811","35159","-68","25","N/A","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 20:24:12"
"Samsung","Unknown","10.30.3.49/::","00:C3:F4:86:2E:1D","EHC TV","C8:03:F5:33:AC:20","8168","6998","1170","3499","585","-72","18","g/n","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:52:22"
"Samsung","Unknown","10.30.5.168/::","00:C3:F4:86:2E:6E","EHC TV","C8:03:F5:33:A9:D0","89038021","3956149","85081872","16016","344461","-72","24","g/n","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:16:50"
"Samsung","Unknown","10.90.6.73/::","00:C3:F4:86:2E:81","EHC TV","B4:79:C8:10:DE:70","44896670","2199574","42697096","3008","58409","-68","27","N/A","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:53:51"
"Samsung","Unknown","10.20.1.222/::","00:C3:F4:86:2E:AA","EHC TV","C8:03:F5:34:4E:F0","67182812","3591848","63590964","1628","28839","-86","9","g/n","20","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:16:09"
"Samsung","Unknown","10.100.1.127/::","00:C3:F4:86:2F:72","EHC TV","20:58:69:0C:6D:B0","317624887","671177","316953710","11","5321","-72","24","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 04:29:57"
"Samsung","Unknown","10.100.3.81/::","00:C3:F4:86:46:50","EHC TV","20:58:69:0C:6E:70","3515176","645898","2869278","258","1150","-79","17","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 13:06:52"
"Samsung","Unknown","10.100.2.141/::","00:C3:F4:86:46:64","EHC TV","20:58:69:0C:95:C0","6506896009","231440192","6275455817","35183","954006","-56","39","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/06/29 20:24:14"
"Samsung","Unknown","10.100.7.193/::","00:C3:F4:86:46:C2","EHC TV","20:58:69:0C:7C:80","362911","216510","146401","295","200","-75","22","g/n","100","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:39:25"
"Samsung","Unknown","10.30.2.95/::","00:C3:F4:86:48:7B","EHC TV","C8:03:F5:33:AC:20","27459256","989771","26469485","387","10372","-59","31","g/n","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:09:51"
"Samsung","Unknown","10.100.3.135/::","00:C3:F4:86:48:7F","EHC TV","20:58:69:0C:79:00","21712330186","901154293","20811175893","20185","466168","-70","25","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/06/25 13:12:11"
"Samsung","Unknown","10.100.3.133/::","00:C3:F4:86:48:84","EHC TV","20:58:69:0C:A9:F0","123940","51326","72614","36","51","-81","16","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:29:59"
"iPhone","Unknown","10.50.1.15/::","02:3E:3C:AD:A4:E7","EHC TV","B4:79:C8:10:F4:40","4094416","310194","3784222","163","1988","-95","9","a/n/ac","50","165","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 11:16:26"
"realme-P1-Pro-5G","Unknown","10.80.7.158/::","02:6C:0C:2A:C6:BB","EHC TV","C8:03:F5:33:C2:D0","89764695","6093827","83670868","907","12460","-74","24","g/n","80","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 13:22:21"
"Galaxy-S25-Ultra","Unknown","10.20.1.20/::","02:8C:38:50:F3:9C","EHC TV","C8:03:F5:34:1B:00","4520644","693151","3827493","488","2699","-82","20","a/n/ac","20","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 13:00:39"
"Galaxy-S25-Ultra","Unknown","10.90.6.239/::","02:CA:99:D6:20:8F","EHC TV","B4:79:C8:10:D2:D0","16185205","798458","15386747","2550","49158","-86","21","a/n/ac","90","48","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:48:44"
"Redmi8-Redmi8","Android","10.90.3.210/::","04:C8:07:A7:80:96","EHC TV","70:CA:97:25:A0:B0","247367215","10284176","237083039","3122","71974","-51","44","g/n","90","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 14:58:19"
"Ahmed","Unknown","10.100.3.54/::","06:56:39:2D:9D:9C","EHC TV","20:58:69:0C:A2:80","70140722","4251664","65889058","5294","82053","-76","30","a/n/ac","100","161","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:39:30"
"Galaxy-A13","Unknown","10.100.3.151/::","0A:A0:6A:A8:71:F0","EHC TV","20:58:69:0C:B0:80","2313379400","316211782","1997167618","6363","40191","-59","38","g/n","100","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 01:21:29"
"OPPO-Reno8-Z-5G","Unknown","10.50.7.218/::","0A:BC:A9:7E:F8:3E","EHC TV","C8:03:F5:35:26:40","40162394","5838399","34323995","529","3113","-65","35","a/n/ac","50","52","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 12:49:08"
"realme-9i","Unknown","10.80.3.37/::","0A:BE:CF:92:62:8E","EHC TV","70:CA:97:25:BD:40","260876929","20290032","240586897","14451","171358","-70","27","g/n","80","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:19:55"
"Galaxy-S24-FE-5G","Unknown","10.100.7.121/::","0A:EF:74:5D:8E:30","EHC TV","20:58:69:0C:A2:80","29231333","3308607","25922726","1391","10901","-76","21","g/n","100","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:13:30"
"Galaxy-Tab-A-2016","Android","10.40.5.50/::","0C:2F:B0:99:13:AA","EHC TV","84:23:88:1E:4D:B0","169674649","11286496","158388153","5395","75711","-47","42","a/n/ac","40","136","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:18:51"
"","Unknown","10.80.5.51/::","0E:4B:CB:7D:26:D8","EHC TV","70:CA:97:25:BD:70","31484196","3623795","27860401","404","3108","-80","22","a/n/ac","80","108","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 12:27:03"
"Galaxy-A24","Unknown","10.60.5.48/::","0E:68:67:7A:E1:39","EHC TV","20:58:69:0C:6B:C0","124604029","883985","123720044","61","8563","-87","11","g/n","60","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 20:52:10"
"iPhone","Unknown","10.20.0.131/::","10:A2:D3:D0:17:18","EHC TV","C8:03:F5:33:A7:F0","100399","16848","83551","89","444","-93","9","a/n/ac","20","116","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:52:14"
"HONOR-X5-Plus","Unknown","10.60.1.228/::","12:8D:79:D0:2D:BE","EHC TV","B4:79:C8:10:EE:40","45631568","15107600","30523968","20170","40752","-64","33","g/n","60","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:41:25"
"iPhone","Unknown","10.30.2.135/::","16:0A:0E:64:9F:DE","EHC TV","20:58:69:0C:75:20","600572","109373","491199","926","4162","-79","16","g/n","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:50:04"
"moto-g23","Unknown","10.30.0.221/::","16:1B:DA:8C:00:A0","EHC TV","20:58:69:0C:72:D0","4820163","1023994","3796169","237","882","-69","26","g/n","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 14:41:15"
"Redmi-12-5G","Unknown","10.70.6.78/::","16:37:A6:2E:D8:8A","EHC TV","20:58:69:0C:64:E0","3235369","467572","2767797","200","1184","-90","6","N/A","70","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:11:33"
"Redmi-12","Unknown","10.30.2.155/::","16:3D:E7:92:AF:9B","EHC TV","C8:03:F5:34:1B:40","2682","1362","1320","1","1","-86","9","g/n","30","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:36:50"
"Tab-S9-FE-alkhas-b-mhmd","Unknown","10.20.1.72/::","16:56:12:E9:CF:41","EHC TV","B4:79:C8:11:06:40","206377831","6538014","199839817","0","0","-69","27","N/A","20","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:37:55"
"Galaxy-A14","Unknown","10.30.3.14/::","16:8B:4A:94:7C:2B","EHC TV","C8:03:F5:39:DE:90","3790","1978","1812","1","1","-80","18","N/A","30","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:54:07"
"Redmi8-POr4","Android","10.30.6.70/::","18:87:40:51:02:1A","EHC TV","C8:03:F5:33:A9:00","29754515","7290923","22463592","604","1862","-77","20","g/n","30","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 20:44:53"
"Redmi-Note-8","Unknown","10.20.0.26/::","18:87:40:C5:9B:A8","EHC TV","C8:03:F5:39:D1:E0","","","","","","","","N/A","20","","N/A","Standard+Open","AUTHORIZED","","2025/07/04 15:54:16"
"","Unknown","10.20.1.169/::","1A:72:11:1D:FD:B0","EHC TV","20:58:69:0C:77:30","502848","26769","476079","0","0","-85","16","N/A","20","40","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:42:56"
"Galaxy-S25-Ultra","Unknown","10.90.7.207/::","1A:A5:F5:8F:50:EE","EHC TV","B4:79:C8:10:E3:30","403878","21630","382248","408","7212","-89","12","a/n/ac","90","120","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 01:44:20"
"Galaxy-S24-Ultra","Unknown","10.40.5.184/::","1A:B0:D9:A9:AE:83","EHC TV","84:23:88:1E:4D:B0","92296804","6269753","86027051","950","13036","-79","10","a/n/ac","40","136","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:53:17"
"S24-Ultra-alkhas-b-ghadt","Unknown","10.40.4.33/::","1E:4D:FE:E9:D8:74","EHC TV","84:23:88:1E:4B:E0","811234038","102712957","708521081","10980","75745","-79","12","a/n/ac","40","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 12:38:07"
"Galaxy-A14","Unknown","10.90.7.205/::","1E:C2:BC:73:33:5C","EHC TV","B4:79:C8:10:D4:80","4481919","370707","4111212","1494","16577","-78","26","a/n/ac","90","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:51:35"
"S24-Ultra-alkhas-b-mhmd","Unknown","10.70.6.137/::","1E:FB:FF:A3:07:3F","EHC TV","70:CA:97:25:A3:D0","188655","1844","186811","10","1049","-96","0","g/n","70","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:50:45"
"Redmi-13C","Unknown","10.30.5.4/::","22:12:6E:AD:38:41","EHC TV","C8:03:F5:33:A9:00","943664864","24372835","919292029","372","14041","-88","16","a/n/ac","30","116","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 21:40:26"
"riham-said-s-A55","Unknown","10.40.2.56/::","22:64:5E:83:D0:44","EHC TV","84:23:88:1E:4B:E0","220882510","10432933","210449577","1656","33404","-81","10","a/n/ac","40","44","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 14:08:08"
"","Unknown","10.20.1.182/::","26:3E:F1:A3:AB:B1","EHC TV","20:58:69:0C:77:30","0","0","0","0","0","0","0","N/A","20","136","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 15:53:23"
