"Hostname","OS Type","IP Address","MAC Address","WLAN (SSID)","AP MAC","Traffic (Session)","Traffic (uplink)","Traffic (downlink)","Data Rate (up)","Data Rate (down)","RSSI","SNR","Radio Type","VLAN","Channel","User Name","Auth Method","Auth Status","Control Plane","Session start time"
"android-1d55c29787da2ad8","Unknown","10.60.7.252/::","00:08:22:32:40:FC","EHC-15","B4:79:C8:10:E3:D0","235584","84198","151386","106","190","-84","11","g/n","60","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 11:14:49"
"Redmi-10A","Unknown","10.40.6.77/::","00:08:22:34:66:FE","EHC-15","84:23:88:1E:4B:E0","40497875","9066824","31431051","1749","6064","-79","14","g/n","40","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 10:38:45"
"android-41e730715843ce35","Android","10.30.5.132/::","00:08:22:70:F8:FB","EHC-15","84:23:88:1E:4C:20","468308","259524","208784","435","350","-72","21","N/A","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 11:53:59"
"P30-ROW","Unknown","10.50.6.101/::","00:08:22:97:B1:A3","EHC-15","84:23:88:1E:3F:A0","82522128","6673301","75848827","1440","16374","-67","25","g/n","50","1","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 10:45:13"
"","Unknown","10.90.1.11/::","00:08:22:9C:39:51","EHC-15","B4:79:C8:10:DD:A0","4642806","1727710","2915096","34","58","-78","17","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 13:42:51"
"","Android","10.40.0.179/::","00:08:22:FC:BC:FB","EHC-15","C8:03:F5:33:AC:E0","452501619","21056020","431445599","1711","35065","-83","14","g/n","40","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 08:38:47"
"V2111","Unknown","10.30.7.106/::","00:08:3F:61:09:E9","EHC-15","84:23:88:1E:4D:20","11298611","1428812","9869799","12872","88917","-79","14","g/n","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 12:01:16"
"","Unidentified Router or AP","10.90.2.147/::","00:16:78:68:2C:24","EHC-15","B4:79:C8:10:DE:70","175224552","11379044","163845508","5741","82666","-70","26","g/n","90","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 11:31:43"
"","Unknown","10.30.3.236/::","00:16:88:1F:F3:8C","EHC-15","20:58:69:0C:81:30","59013398","6284041","52729357","237","1997","-70","24","g/n","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 04:42:53"
"","Unknown","10.60.7.94/::","00:16:88:21:19:47","EHC-15","20:58:69:2E:E0:C0","114299042","5203658","109095384","185","3897","-69","28","g/n","60","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 04:18:13"
"","Unknown","10.30.6.246/::","00:16:88:21:61:5C","EHC-15","20:58:69:0C:72:D0","9459142","1624469","7834673","2246","10836","-71","24","g/n","30","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 11:38:20"
"","Unknown","10.30.4.38/::","00:16:88:21:B3:43","EHC-15","C8:03:F5:39:DE:90","507755011","35315121","472439890","392","5245","-73","20","g/n","30","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 11:04:08"
"","Unknown","10.80.2.139/::","00:16:88:23:18:7F","EHC-15","20:58:69:0C:A2:10","67149213","1074815","66074398","37","2280","-85","9","g/n","80","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 04:01:59"
"","Unknown","10.60.3.43/::","00:16:88:23:7D:DA","EHC-15","C8:03:F5:33:B1:00","16017394","1026878","14990516","130","1900","-74","22","g/n","60","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 09:53:35"
"","Unknown","10.90.4.126/::","00:16:88:23:7E:61","EHC-15","B4:79:C8:10:D4:A0","28053969","939759","27114210","29","861","-68","25","g/n","90","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 01:00:29"
"","Unknown","10.50.7.78/::","00:16:88:24:22:42","EHC-15","B4:79:C8:10:D9:60","3947253","1407345","2539908","30","55","-69","25","g/n","50","6","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/03 23:21:36"
"","Unknown","10.30.7.215/::","00:16:88:25:BB:AB","EHC-15","C8:03:F5:39:DE:90","59482061","4637148","54844913","263","3116","-79","21","a/n","30","108","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 03:19:16"
"","Unknown","10.60.6.210/::","00:16:88:26:4B:88","EHC-15","20:58:69:2E:CB:20","51767","15763","36004","15","35","-72","25","g/n","60","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 11:43:07"
"","Unknown","10.40.2.224/::","00:16:88:27:76:D7","EHC-15","84:23:88:1E:46:30","7205326","114788","7090538","56","3467","-70","23","g/n","40","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/04 11:31:08"
"","Unknown","10.50.6.160/::","00:16:88:28:5C:10","EHC-15","54:EC:2F:06:E9:60","75155210","7873111","67282099","55","472","-66","31","g/n","50","11","N/A","Standard+Open","AUTHORIZED","vsz","2025/07/02 20:31:10"
